nRows,nColumns,maxTime,threshold,seed,generations,initDuration,runDuration,maxMemory
50,50,60000,500,1,1964126,11,59989,155864896
100,100,60000,500,1,1074706,3,59997,127395088
150,150,60000,500,1,608125,5,59995,49722200
200,200,60000,500,1,375660,6,59994,42737680
250,250,60000,500,1,210703,7,59993,24881328
300,300,60000,500,1,180743,9,59991,19631976
350,350,60000,500,1,138942,10,59990,16777216
400,400,60000,500,1,108297,9,59991,16777216
450,450,60000,500,1,85739,11,59989,16777216
500,500,60000,500,1,69852,11,59989,16611840
550,550,60000,500,1,56247,12,59988,14598416
600,600,60000,500,1,50133,13,59987,12920536
650,650,60000,500,1,40105,14,59987,11746416
700,700,60000,500,1,35515,14,59987,11075264
750,750,60000,500,1,27265,14,59986,9732944
800,800,60000,500,1,27159,17,59983,10404112
850,850,60000,500,1,24924,16,59986,10404096
900,900,60000,500,1,21944,17,59983,9397384
950,950,60000,500,1,19826,18,59983,9397384
1000,1000,60000,500,1,17924,18,59984,9397368
1050,1050,60000,500,1,16444,21,59981,9397384
1100,1100,60000,500,1,15174,20,59981,9732960
1150,1150,60000,500,1,13755,22,59980,10068536
1200,1200,60000,500,1,12635,22,59981,10404112
1250,1250,60000,500,1,11738,24,59980,10739752
1300,1300,60000,500,1,10871,26,59975,10068616
1350,1350,60000,500,1,10030,27,59974,10068616
1400,1400,60000,500,1,9571,28,59978,10404192
1450,1450,60000,500,1,8822,29,59977,10741208
1500,1500,60000,500,1,8111,31,59975,11077792
1550,1550,60000,500,1,7729,32,59973,11752160
1600,1600,60000,500,1,7117,34,59971,12089560
1650,1650,60000,500,1,6712,36,59971,12920536
1700,1700,60000,500,1,6423,38,59969,13256112
1750,1750,60000,500,1,5937,42,59965,13927344
1800,1800,60000,500,1,5704,44,59964,14262920
1850,1850,60000,500,1,5461,47,59955,14934400
1900,1900,60000,500,1,5031,48,59956,15273296
1950,1950,60000,500,1,4757,50,59950,15948464
2000,2000,60000,500,1,4509,51,59958,16286264
2050,2050,60000,500,1,4386,54,59958,16777216
2100,2100,60000,500,1,4111,55,59955,15348808
2150,2150,60000,500,1,3936,59,59947,16157032
2200,2200,60000,500,1,3753,65,59948,16732056
2250,2250,60000,500,1,3295,66,59943,17236856
2300,2300,60000,500,1,3469,68,59939,17658008
2350,2350,60000,500,1,3271,76,59937,18556272
2400,2400,60000,500,1,3237,72,59943,19202136
2450,2450,60000,500,1,3016,75,59939,19888384
2500,2500,60000,500,1,2937,76,59935,20819600
2550,2550,60000,500,1,2824,79,59928,21530224
2600,2600,60000,500,1,2714,81,59923,22110672
2650,2650,60000,500,1,2562,86,59921,23111832
2700,2700,60000,500,1,2464,92,59910,23602176
2750,2750,60000,500,1,2424,89,59917,24323456
2800,2800,60000,500,1,2308,95,59919,25555848
2850,2850,60000,500,1,2225,100,59907,26512248
2900,2900,60000,500,1,2198,101,59922,27371664
2950,2950,60000,500,1,2083,103,59916,28317760
3000,3000,60000,500,1,2029,106,59916,29121296
