nRows,nColumns,maxTime,threshold,seed,generations,initDuration,runDuration,maxMemory
50,50,60000,500,1,1050473,4,59996,156074944
100,100,60000,500,1,831380,9,59991,156781072
150,150,60000,500,1,586253,13,59987,145174984
200,200,60000,500,1,384046,14,59986,85512368
250,250,60000,500,1,291494,17,59983,60898896
300,300,60000,500,1,208395,17,59983,40518024
350,350,60000,500,1,96987,21,59979,34890584
400,400,60000,500,1,60837,39,59961,29861552
450,450,60000,500,1,35329,33,59967,26683336
500,500,60000,500,1,23864,36,59965,29647016
550,550,60000,500,1,19796,43,59958,34804704
600,600,60000,500,1,15158,48,59955,38013336
650,650,60000,500,1,12531,52,59953,41518592
700,700,60000,500,1,10469,66,59934,49112344
750,750,60000,500,1,9048,72,59929,54144160
800,800,60000,500,1,7921,78,59924,60720984
850,850,60000,500,1,6941,85,59921,69124648
900,900,60000,500,1,6159,87,59922,76703344
950,950,60000,500,1,5491,90,59914,83929776
1000,1000,60000,500,1,5010,92,59916,91127864
1050,1050,60000,500,1,4521,128,59885,102047400
1100,1100,60000,500,1,4107,114,59899,114349776
1150,1150,60000,500,1,3796,130,59884,123576856
1200,1200,60000,500,1,3522,136,59880,132997096
1250,1250,60000,500,1,3241,143,59867,143083120
1300,1300,60000,500,1,3015,151,59864,158404800
1350,1350,60000,500,1,2791,168,59843,169226256
1400,1400,60000,500,1,2606,173,59842,179795776
1450,1450,60000,500,1,2430,171,59849,192378176
1500,1500,60000,500,1,2273,199,59820,208831656
1550,1550,60000,500,1,2126,200,59801,221797032
1600,1600,60000,500,1,1987,205,59800,233494136
1650,1650,60000,500,1,1875,214,59789,249240112
1700,1700,60000,500,1,1769,220,59796,261511984
1750,1750,60000,500,1,1663,253,59760,281649592
1800,1800,60000,500,1,1571,253,59767,300188440
1850,1850,60000,500,1,1485,256,59772,313527808
1900,1900,60000,500,1,1401,273,59734,329548568
1950,1950,60000,500,1,1343,258,59742,343934976
2000,2000,60000,500,1,1200,344,59683,364904448
2050,2050,60000,500,1,1215,325,59714,387843584
2100,2100,60000,500,1,1156,335,59707,405501128
2150,2150,60000,500,1,1102,350,59673,422146752
2200,2200,60000,500,1,1051,362,59670,440139776
2250,2250,60000,500,1,1009,362,59690,459894976
2300,2300,60000,500,1,939,439,59604,483353672
2350,2350,60000,500,1,915,427,59632,505415680
2400,2400,60000,500,1,879,440,59601,532678656
2450,2450,60000,500,1,846,434,59571,545259520
2500,2500,60000,500,1,809,447,59613,566233088
2550,2550,60000,500,1,776,465,59566,586114120
2600,2600,60000,500,1,692,477,59600,610449240
2650,2650,60000,500,1,713,515,59493,639633408
2700,2700,60000,500,1,688,519,59520,664799232
2750,2750,60000,500,1,662,532,59539,687867904
2800,2800,60000,500,1,639,535,59542,706742272
2850,2850,60000,500,1,615,552,59534,731069264
2900,2900,60000,500,1,591,558,59477,750782464
2950,2950,60000,500,1,525,657,59433,782239744
3000,3000,60000,500,1,551,637,59450,811599872
3050,3050,60000,500,1,529,635,59369,832571392
3100,3100,60000,500,1,505,641,59431,859834368
3150,3150,60000,500,1,496,663,59339,893386752
3200,3200,60000,500,1,479,673,59446,922161752
3250,3250,60000,500,1,464,686,59335,949424728
3300,3300,60000,500,1,399,675,59364,973078528
3350,3350,60000,500,1,433,771,59250,1008438584
3400,3400,60000,500,1,422,800,59250,1041993016
3450,3450,60000,500,1,408,799,59228,1069255992
3500,3500,60000,500,1,397,836,59193,1102810424
3550,3550,60000,500,1,385,861,59286,1132464128
3600,3600,60000,500,1,374,858,59275,1153142072
3650,3650,60000,500,1,363,889,59192,1190890808
3700,3700,60000,500,1,350,967,59100,1222641664
3750,3750,60000,500,1,340,981,59031,1247807488
3800,3800,60000,500,1,331,996,59068,1293944832
3850,3850,60000,500,1,321,999,59032,1323304960
3900,3900,60000,500,1,312,1023,59137,1358956544
3950,3950,60000,500,1,304,1057,59130,1386219520
4000,4000,60000,500,1,296,1027,59096,1421871104
4050,4050,60000,500,1,246,1238,58946,1462747824
4100,4100,60000,500,1,278,1183,58847,1491077120
4150,4150,60000,500,1,272,1172,59005,1539311616
4200,4200,60000,500,1,265,1181,58917,1574963200
4250,4250,60000,500,1,258,1204,58876,1606420480
4300,4300,60000,500,1,252,1208,58882,1644169216
4350,4350,60000,500,1,246,1228,58826,1675626496
4400,4400,60000,500,1,240,1238,58861,1723860992
4450,4450,60000,500,1,190,1437,58637,1755287000
4500,4500,60000,500,1,227,1333,58757,1805649920
4550,4550,60000,500,1,222,1372,58849,1837107200
4600,4600,60000,500,1,216,1355,58770,1868564480
4650,4650,60000,500,1,212,1369,58842,1910507520
4700,4700,60000,500,1,207,1365,58749,1958742016
4750,4750,60000,500,1,202,1432,58611,1986004992
4800,4800,60000,500,1,197,1440,58654,2017462272
4850,4850,60000,500,1,156,1465,58845,2071986176
4900,4900,60000,500,1,186,1561,58439,2116026368
4950,4950,60000,500,1,182,1608,58437,2166360064
5000,5000,60000,500,1,179,1629,58579,2195720192
5050,5050,60000,500,1,175,1716,58596,2237663232
5100,5100,60000,500,1,171,1685,58393,2294286336
5150,5150,60000,500,1,168,1696,58650,2317355008
5200,5200,60000,500,1,164,1755,58541,2373978112
5250,5250,60000,500,1,138,1779,58547,2424307712
5300,5300,60000,500,1,156,1904,58297,2468347904
5350,5350,60000,500,1,152,1915,58149,2514485248
5400,5400,60000,500,1,150,1975,58360,2562719744
5450,5450,60000,500,1,147,2033,58318,2604664832
5500,5500,60000,500,1,144,1989,58330,2659188736
5550,5550,60000,500,1,141,2040,58219,2705328128
5600,5600,60000,500,1,138,2017,58105,2745171968
5650,5650,60000,500,1,135,2068,58324,2816477184
5700,5700,60000,500,1,114,2073,58075,2835349504
5750,5750,60000,500,1,129,2224,57997,2902460416
5800,5800,60000,500,1,126,2252,57756,2944403456
5850,5850,60000,500,1,124,2297,58012,2998927360
5900,5900,60000,500,1,122,2282,58152,3042969600
5950,5950,60000,500,1,119,2312,57807,3120564224
6000,6000,60000,500,1,117,2341,57800,3164602368
6050,6050,60000,500,1,115,2351,57789,3219128320
6100,6100,60000,500,1,99,2467,57862,3247431352
6150,6150,60000,500,1,110,2500,57849,3307190616
6200,6200,60000,500,1,108,2529,57701,3372222464
6250,6250,60000,500,1,106,2678,57545,3433039872
6300,6300,60000,500,1,104,2578,57432,3477078016
6350,6350,60000,500,1,103,2587,57852,3514826752
6400,6400,60000,500,1,101,2630,57676,3586129920
6450,6450,60000,500,1,99,2621,57519,3642753024
6500,6500,60000,500,1,98,2664,57881,3672113152
6550,6550,60000,500,1,96,2676,57702,3745515520
6600,6600,60000,500,1,93,3202,57134,3806330880
6650,6650,60000,500,1,90,3207,56861,3854567424
6700,6700,60000,500,1,90,3265,56921,3909093376
6750,6750,60000,500,1,88,3305,56793,3959425024
6800,6800,60000,500,1,87,3348,57073,4024436736
6850,6850,60000,500,1,85,3366,56759,4091543552
6900,6900,60000,500,1,84,3352,56977,4135583744
6950,6950,60000,500,1,72,3458,56999,4183818240
7000,7000,60000,500,1,80,3755,56463,4261414912
7050,7050,60000,500,1,79,3698,56524,4343201792
7100,7100,60000,500,1,78,3730,56660,4389341184
7150,7150,60000,500,1,77,3762,56821,4456450048
7200,7200,60000,500,1,76,3852,56882,4508876800
7250,7250,60000,500,1,75,3859,56876,4573888512
7300,7300,60000,500,1,73,3817,56196,4630511616
7350,7350,60000,500,1,72,4034,56561,4699719680
7400,7400,60000,500,1,71,4050,56599,4764729344
7450,7450,60000,500,1,70,4082,56616,4815063040
7500,7500,60000,500,1,69,4104,56570,4882171904
7550,7550,60000,500,1,68,4177,56545,4953475072
7600,7600,60000,500,1,67,4154,56620,5010098176
7650,7650,60000,500,1,66,4218,56304,5073012736
7700,7700,60000,500,1,65,4258,56321,5135927296
7750,7750,60000,500,1,63,4408,55615,5234493440
7800,7800,60000,500,1,62,4447,55581,5289019392
7850,7850,60000,500,1,62,4447,56329,5345642496
7900,7900,60000,500,1,61,4510,56031,5429526528
7950,7950,60000,500,1,60,4551,55814,5488248832
8000,8000,60000,500,1,59,4511,55649,5536483328
8050,8050,60000,500,1,58,4783,55853,5622466560
8100,8100,60000,500,1,57,4805,55561,5685381120
8150,8150,60000,500,1,56,4886,55269,5752489976
8200,8200,60000,500,1,56,5268,55649,5855250432
